Job List,DVFS mode,Exec. Time (us),Cumulative Exec. Time (us),Energy (J)
"[1, 0, 0, 0, 0]",[],3588.928,3588.928,0.0009511671000000096
"[0, 1, 0, 0, 0]",[],15988.0,15988.0,0.00423742869999917
"[0, 0, 1, 0, 0]",[],2296.0,2296.0,0.0005098200000000039
"[0, 0, 0, 1, 0]",[],6212.01,6212.01,0.0016564686999997987
"[0, 0, 0, 0, 1]",[],3168.0,3168.0,0.0006770580000000038
"[1, 1, 1, 1, 1]",[],24965.0,80261.938,0.006977322499998594
"[2, 2, 0, 2, 0]",[],49973.928,258072.876,0.01341894100000786
"[0, 0, 2, 0, 2]",[],11675.0,44988.0,0.002497631999999462
"[1, 0, 0, 0, 0]",[],3588.928,3588.928,0.0009511671000000097
"[0, 1, 0, 0, 0]",[],15988.0,15988.0,0.00423742869999917
"[0, 0, 1, 0, 0]",[],2240.0,2240.0,0.0005014500000000039
"[0, 0, 0, 1, 0]",[],6227.01,6227.01,0.0016581426999997984
"[0, 0, 0, 0, 1]",[],4920.0,4920.0,0.0009716820000000044
"[1, 1, 1, 1, 1]",[],24937.0,88212.938,0.006972300499998603
"[2, 2, 0, 2, 0]",[],49957.928,267478.876,0.013415593000007848
"[0, 0, 2, 0, 2]",[],21049.0,81275.0,0.004066169999998789
"[1, 0, 0, 0, 0]",[],3588.928,3588.928,0.0009511671000000096
"[0, 1, 0, 0, 0]",[],15988.0,15988.0,0.00423742869999917
"[0, 0, 1, 0, 0]",[],2275.0,2275.0,0.0005064720000000038
"[0, 0, 0, 1, 0]",[],6292.01,6292.01,0.0016698606999997934
"[0, 0, 0, 0, 1]",[],4544.0,4544.0,0.0009080700000000041
"[1, 1, 1, 1, 1]",[],28031.0,67615.938,0.0074912404999983905
"[2, 2, 0, 2, 0]",[],49231.0,160745.876,0.013295065000007874
"[0, 0, 2, 0, 2]",[],20451.0,76909.0,0.00396740399999884
"[1, 0, 0, 0, 0]",[],3588.928,3588.928,0.0009511671000000097
"[0, 1, 0, 0, 0]",[],15988.0,15988.0,0.00423742869999917
"[0, 0, 1, 0, 0]",[],2240.0,2240.0,0.0005014500000000039
"[0, 0, 0, 1, 0]",[],6235.01,6235.01,0.0016598166999997974
"[0, 0, 0, 0, 1]",[],4920.0,4920.0,0.0009716820000000044
"[1, 1, 1, 1, 1]",[],24938.0,77524.938,0.006972300499998604
"[2, 2, 0, 2, 0]",[],49271.0,253408.87600000002,0.013301761000007475
"[0, 0, 2, 0, 2]",[],20932.0,80823.0,0.004047755999998796
"[1, 0, 0, 0, 0]",[],3588.928,3588.928,0.0009511671000000096
"[0, 1, 0, 0, 0]",[],15988.0,15988.0,0.00423742869999917
"[0, 0, 1, 0, 0]",[],2544.0,2544.0,0.0005516700000000037
"[0, 0, 0, 1, 0]",[],6235.01,6235.01,0.0016598166999997974
"[0, 0, 0, 0, 1]",[],3232.0,3232.0,0.0006887760000000037
"[1, 1, 1, 1, 1]",[],24885.0,64528.937999999995,0.006963930499998601
"[2, 2, 0, 2, 0]",[],49429.01,232359.87600000002,0.013326871000007562
"[0, 0, 2, 0, 2]",[],11567.0,28125.0,0.0024792179999994692
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540750999999162
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699999849
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717579999999739
"[0, 0, 0, 1, 0]",[],4075.01,4075.01,0.0012982326999997984
"[0, 0, 0, 0, 1]",[],2341.0,2341.0,0.0005397899999999867
"[1, 1, 1, 1, 1]",[],19222.0,39629.938,0.006016446500003682
"[2, 2, 0, 2, 0]",[],25415.0,112976.876,0.009307597000001739
"[0, 0, 2, 0, 2]",[],7989.0,29876.0,0.0018799259999995495
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540750999999162
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699999849
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717579999999739
"[0, 0, 0, 1, 0]",[],4075.01,4075.01,0.0012982326999997984
"[0, 0, 0, 0, 1]",[],2308.0,2308.0,0.0005330939999999893
"[1, 1, 1, 1, 1]",[],19174.0,39562.938,0.006008076500003668
"[2, 2, 0, 2, 0]",[],26077.0,127373.87599999999,0.009418081000001384
"[0, 0, 2, 0, 2]",[],13253.0,51392.0,0.0027621239999991646
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540750999999162
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699999849
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717579999999739
"[0, 0, 0, 1, 0]",[],4075.01,4075.01,0.0012982326999997984
"[0, 0, 0, 0, 1]",[],2206.0,2206.0,0.0005163539999999951
"[1, 1, 1, 1, 1]",[],19385.0,42020.938,0.006043230500003743
"[2, 2, 0, 2, 0]",[],26343.0,89704.876,0.009463279000001313
"[0, 0, 2, 0, 2]",[],14348.0,54812.0,0.002944589999999095
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540750999999162
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699999849
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717579999999739
"[0, 0, 0, 1, 0]",[],4075.01,4075.01,0.0012982326999997984
"[0, 0, 0, 0, 1]",[],2308.0,2308.0,0.0005330939999999893
"[1, 1, 1, 1, 1]",[],19198.0,38545.938,0.006011424500003671
"[2, 2, 0, 2, 0]",[],25670.0,113018.87599999999,0.009351121000001626
"[0, 0, 2, 0, 2]",[],13104.0,49023.0,0.002737013999999176
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540750999999162
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699999849
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717579999999739
"[0, 0, 0, 1, 0]",[],4075.01,4075.01,0.0012982326999997984
"[0, 0, 0, 0, 1]",[],2688.0,2688.0,0.0005967059999999665
"[1, 1, 1, 1, 1]",[],18559.0,37243.938,0.005904288500003473
"[2, 2, 0, 2, 0]",[],25476.0,112287.87599999999,0.009317641000001738
"[0, 0, 2, 0, 2]",[],8739.0,23015.0,0.0020054759999994973
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540751000000091
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234700000015
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717580000000036
"[0, 0, 0, 1, 0]",[],2552.01,2552.01,0.001043784699999951
"[0, 0, 0, 0, 1]",[],2001.0,2001.0,0.00048287400000000396
"[1, 1, 1, 1, 1]",[],17641.0,32082.938000000002,0.005751954499996507
"[2, 2, 0, 2, 0]",[],21027.0,70992.876,0.008572710999991993
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540751000000091
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234700000015
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717580000000036
"[0, 0, 0, 1, 0]",[],2552.01,2552.01,0.001043784699999951
"[0, 0, 0, 0, 1]",[],2007.0,2007.0,0.00048287400000000396
"[1, 1, 1, 1, 1]",[],17154.0,32212.938000000002,0.00566992849999668
"[2, 2, 0, 2, 0]",[],20350.0,74706.876,0.008460552999992436
"[0, 0, 2, 0, 2]",[],9136.0,35255.0,0.0020724359999991244
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540751000000091
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234700000015
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717580000000036
"[0, 0, 0, 1, 0]",[],2552.01,2552.01,0.001043784699999951
"[0, 0, 0, 0, 1]",[],2192.0,2192.0,0.000514680000000004
"[1, 1, 1, 1, 1]",[],17092.0,32767.938000000002,0.005659884499996697
"[2, 2, 0, 2, 0]",[],21750.0,66429.876,0.00869491299999133
"[0, 0, 2, 0, 2]",[],11259.0,43101.0,0.002427323999999431
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540751000000091
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234700000015
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717580000000036
"[0, 0, 0, 1, 0]",[],2552.01,2552.01,0.001043784699999951
"[0, 0, 0, 0, 1]",[],1828.0,1828.0,0.00045274200000000364
"[1, 1, 1, 1, 1]",[],17677.0,33196.938,0.00575697649999651
"[2, 2, 0, 2, 0]",[],20421.0,69526.876,0.008472270999992343
"[0, 0, 2, 0, 2]",[],8485.0,31198.0,0.0019636259999990468
"[1, 0, 0, 0, 0]",[],3003.928,3003.928,0.0008540751000000091
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234700000015
"[0, 0, 1, 0, 0]",[],2664.0,2664.0,0.0005717580000000036
"[0, 0, 0, 1, 0]",[],2552.01,2552.01,0.001043784699999951
"[0, 0, 0, 0, 1]",[],1880.0,1880.0,0.0004627860000000039
"[1, 1, 1, 1, 1]",[],17657.0,32890.938,0.0057536284999965106
"[2, 2, 0, 2, 0]",[],20374.0,64044.876000000004,0.00846390099999241
"[0, 0, 2, 0, 2]",[],7429.0,21681.0,0.0017861819999992134
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],6308.01,6308.01,0.0016715347000000348
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],25105.0,74152.938,0.007000758499997309
"[2, 2, 0, 2, 0]",[],50125.928,258706.876,0.013444051000010011
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26955.0,89006.938,0.00731044849999706
"[2, 2, 0, 2, 0]",[],50102.928,268165.876,0.013440703000010006
"[0, 0, 2, 0, 2]",[],28984.0,112345.0,0.00539532599999713
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2867.0,2867.0,0.0006052379999999737
"[0, 0, 0, 1, 0]",[],6392.01,6392.01,0.00168660070000004
"[0, 0, 0, 0, 1]",[],5904.0,5904.0,0.0011357339999999109
"[1, 1, 1, 1, 1]",[],31314.0,83243.938,0.008040312499997154
"[2, 2, 0, 2, 0]",[],49431.0,161785.876,0.013328545000010053
"[0, 0, 2, 0, 2]",[],27459.0,103528.0,0.005139203999997383
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26917.0,88812.938,0.007303752499997077
"[2, 2, 0, 2, 0]",[],49419.0,254128.87600000002,0.013325197000009503
"[0, 0, 2, 0, 2]",[],28624.0,110925.0,0.005335061999997186
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],3216.0,3216.0,0.0006638279999999576
"[0, 0, 0, 1, 0]",[],6323.01,6323.01,0.001674882700000036
"[0, 0, 0, 0, 1]",[],4280.0,4280.0,0.000864545999999903
"[1, 1, 1, 1, 1]",[],25021.0,69399.938,0.006987366499997328
"[2, 2, 0, 2, 0]",[],49663.01,232404.87600000002,0.013367047000009697
"[0, 0, 2, 0, 2]",[],15004.0,36748.0,0.003055073999999262
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],6308.01,6308.01,0.0016715347000000348
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],25105.0,74152.938,0.007000758499997309
"[2, 2, 0, 2, 0]",[],50125.928,258706.876,0.013444051000010011
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26955.0,89006.938,0.00731044849999706
"[2, 2, 0, 2, 0]",[],50102.928,268165.876,0.013440703000010006
"[0, 0, 2, 0, 2]",[],28984.0,112345.0,0.00539532599999713
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2867.0,2867.0,0.0006052379999999737
"[0, 0, 0, 1, 0]",[],6392.01,6392.01,0.00168660070000004
"[0, 0, 0, 0, 1]",[],5904.0,5904.0,0.0011357339999999109
"[1, 1, 1, 1, 1]",[],31314.0,83243.938,0.008040312499997154
"[2, 2, 0, 2, 0]",[],49431.0,161785.876,0.013328545000010053
"[0, 0, 2, 0, 2]",[],27459.0,103528.0,0.005139203999997383
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26917.0,88812.938,0.007303752499997077
"[2, 2, 0, 2, 0]",[],49419.0,254128.87600000002,0.013325197000009503
"[0, 0, 2, 0, 2]",[],28624.0,110925.0,0.005335061999997186
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],3216.0,3216.0,0.0006638279999999576
"[0, 0, 0, 1, 0]",[],6323.01,6323.01,0.001674882700000036
"[0, 0, 0, 0, 1]",[],4280.0,4280.0,0.000864545999999903
"[1, 1, 1, 1, 1]",[],25021.0,69399.938,0.006987366499997328
"[2, 2, 0, 2, 0]",[],49663.01,232404.87600000002,0.013367047000009697
"[0, 0, 2, 0, 2]",[],15004.0,36748.0,0.003055073999999262
"[1, 0, 0, 0, 0]",[],3016.928,3016.928,0.0008557490999999421
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],2657.01,2657.01,0.0010605246999999746
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],16931.0,47682.938,0.005633100499998396
"[2, 2, 0, 2, 0]",[],19424.0,61217.876000000004,0.008304870999999317
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3016.928,3016.928,0.0008557490999999422
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],2611.01,2611.01,0.0010538286999999722
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],22278.0,74823.938,0.006527016499997613
"[2, 2, 0, 2, 0]",[],19282.0,64077.876000000004,0.008281434999998926
"[0, 0, 2, 0, 2]",[],28984.0,112345.0,0.00539532599999713
"[1, 0, 0, 0, 0]",[],3017.928,3017.928,0.0008557490999999419
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2867.0,2867.0,0.0006052379999999737
"[0, 0, 0, 1, 0]",[],2641.01,2641.01,0.0010588506999999739
"[0, 0, 0, 0, 1]",[],5904.0,5904.0,0.0011357339999999109
"[1, 1, 1, 1, 1]",[],26747.0,75650.938,0.007275294499997315
"[2, 2, 0, 2, 0]",[],19588.0,61286.876000000004,0.008331654999999041
"[0, 0, 2, 0, 2]",[],27459.0,103528.0,0.005139203999997383
"[1, 0, 0, 0, 0]",[],3016.928,3016.928,0.0008557490999999422
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],2611.01,2611.01,0.0010538286999999722
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],22320.0,75033.938,0.0065353864999976065
"[2, 2, 0, 2, 0]",[],19282.0,59502.876000000004,0.008281434999999303
"[0, 0, 2, 0, 2]",[],28624.0,110925.0,0.005335061999997186
"[1, 0, 0, 0, 0]",[],3017.928,3017.928,0.0008557490999999419
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],3216.0,3216.0,0.0006638279999999576
"[0, 0, 0, 1, 0]",[],2641.01,2641.01,0.0010588506999999732
"[0, 0, 0, 0, 1]",[],4280.0,4280.0,0.000864545999999903
"[1, 1, 1, 1, 1]",[],18973.0,45250.938,0.005974596499998051
"[2, 2, 0, 2, 0]",[],19282.0,59712.876000000004,0.008281434999999268
"[0, 0, 2, 0, 2]",[],15004.0,36748.0,0.003055073999999262
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],6308.01,6308.01,0.0016715347000000348
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],25105.0,74152.938,0.007000758499997309
"[2, 2, 0, 2, 0]",[],50125.928,258706.876,0.013444051000010011
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26955.0,89006.938,0.00731044849999706
"[2, 2, 0, 2, 0]",[],50102.928,268165.876,0.013440703000010006
"[0, 0, 2, 0, 2]",[],28984.0,112345.0,0.00539532599999713
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2867.0,2867.0,0.0006052379999999737
"[0, 0, 0, 1, 0]",[],6392.01,6392.01,0.00168660070000004
"[0, 0, 0, 0, 1]",[],5904.0,5904.0,0.0011357339999999109
"[1, 1, 1, 1, 1]",[],31314.0,83243.938,0.008040312499997154
"[2, 2, 0, 2, 0]",[],49431.0,161785.876,0.013328545000010053
"[0, 0, 2, 0, 2]",[],27459.0,103528.0,0.005139203999997383
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26917.0,88812.938,0.007303752499997077
"[2, 2, 0, 2, 0]",[],49419.0,254128.87600000002,0.013325197000009503
"[0, 0, 2, 0, 2]",[],28624.0,110925.0,0.005335061999997186
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],3216.0,3216.0,0.0006638279999999576
"[0, 0, 0, 1, 0]",[],6323.01,6323.01,0.001674882700000036
"[0, 0, 0, 0, 1]",[],4280.0,4280.0,0.000864545999999903
"[1, 1, 1, 1, 1]",[],25021.0,69399.938,0.006987366499997328
"[2, 2, 0, 2, 0]",[],49663.01,232404.87600000002,0.013367047000009697
"[0, 0, 2, 0, 2]",[],15004.0,36748.0,0.003055073999999262
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],6308.01,6308.01,0.0016715347000000348
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],25105.0,74152.938,0.007000758499997309
"[2, 2, 0, 2, 0]",[],50125.928,258706.876,0.013444051000010011
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26955.0,89006.938,0.00731044849999706
"[2, 2, 0, 2, 0]",[],50102.928,268165.876,0.013440703000010006
"[0, 0, 2, 0, 2]",[],28984.0,112345.0,0.00539532599999713
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2867.0,2867.0,0.0006052379999999737
"[0, 0, 0, 1, 0]",[],6392.01,6392.01,0.00168660070000004
"[0, 0, 0, 0, 1]",[],5904.0,5904.0,0.0011357339999999109
"[1, 1, 1, 1, 1]",[],31314.0,83243.938,0.008040312499997154
"[2, 2, 0, 2, 0]",[],49431.0,161785.876,0.013328545000010053
"[0, 0, 2, 0, 2]",[],27459.0,103528.0,0.005139203999997383
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2808.0,2808.0,0.0005951939999999766
"[0, 0, 0, 1, 0]",[],6335.01,6335.01,0.0016765567000000363
"[0, 0, 0, 0, 1]",[],6568.0,6568.0,0.001246217999999943
"[1, 1, 1, 1, 1]",[],26917.0,88812.938,0.007303752499997077
"[2, 2, 0, 2, 0]",[],49419.0,254128.87600000002,0.013325197000009503
"[0, 0, 2, 0, 2]",[],28624.0,110925.0,0.005335061999997186
"[1, 0, 0, 0, 0]",[],3633.928,3633.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],3216.0,3216.0,0.0006638279999999576
"[0, 0, 0, 1, 0]",[],6323.01,6323.01,0.001674882700000036
"[0, 0, 0, 0, 1]",[],4280.0,4280.0,0.000864545999999903
"[1, 1, 1, 1, 1]",[],25021.0,69399.938,0.006987366499997328
"[2, 2, 0, 2, 0]",[],49663.01,232404.87600000002,0.013367047000009697
"[0, 0, 2, 0, 2]",[],15004.0,36748.0,0.003055073999999262
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999121
"[0, 1, 0, 0, 0]",[],16176.0,16176.0,0.004269234699998776
"[0, 0, 1, 0, 0]",[],2856.0,2856.0,0.0006035639999999741
"[0, 0, 0, 1, 0]",[],6308.01,6308.01,0.0016715347000000348
"[0, 0, 0, 0, 1]",[],4036.0,4036.0,0.0008226959999999148
"[1, 1, 1, 1, 1]",[],25105.0,74152.938,0.007000758499997309
"[2, 2, 0, 2, 0]",[],50125.928,258706.876,0.013444051000010011
"[0, 0, 2, 0, 2]",[],14904.0,57683.0,0.003038333999999269
"[1, 0, 0, 0, 0]",[],3632.928,3632.928,0.0009595370999999122
